Johnnyder,1952,46/28
JamemesG,1941,26/10
veru,43,28/15
wingman,1922,48/24
HEROINFATHER,1916,17/4
Aurosis,1857,41/34
1772,revzi,45/31
Smoke,1756,45/37
ZaneAU,1717,34/25
Royalx,1716,25/17
ReHou,1676,26/21
shrike,1670,21/11
da yung gogs,1640,36/32
Mosswi,1603,12/14
mcewen,1603,20/15
Waldo,1585,8/2
jG,1583,10/8
muru,1544,31/28
Ja1de,1542,15/9
Lazhern,1540,14/9
raiid78,1512,12/10
Irrashinal,1493,9/9
Destora,1477,7/5
TrigrH,1473,12/10
NotCreamy,1464,9/6
Ramboros,1449,24/22
Quake,1447,6/7
Absent,1427,14/9
Alumi,1426,18/15
Agent_Chicken,1419,14/16
bozott,1411,38/39
Splinter67,1405,8/12
Shudzy1,1405,15/15
JustUnique,1376,53/55
n8tJake,1364,10/10
Revian,1357,25/25
Absent,1355,10/9
Gnarly,1346,6/7
CondoDEV,1336,6/5
Kibble,1332,10/13
riderrr,1322,16/20
HoppCX,1296,22/23
HonestBaguette,1277,12/9
vParko,1271,6/7
KuLerfooL,1267,10/11
SuMsEt_,1254,11/10
Handy Nandy,1251,4/7
Pilott,1246,7/10
Ironwolf132,1225,9/20
DeathRiott,1211,32/26
SupremeSnyperz,1175,18/31
WickSterPlayz,1159,8/12
Jokerr,1140,18/27
D3kka2a,1129,24/36
Kanicc,1125,6/15
Trax,1114,7/14
MitchAU,1073,17/26
NxGD,1066,26/40
Ryze,849,5/11
Noz Puppett,848,5/16
Dignity2k,725,7/17
